-25.416,-95.402,-645.02,179
-25.483,-93.797,-639.88,24
-25.425,-92.645,-641.79,85
-24.413,-96.34,-646.07,410
-24.559,-95.965,-638.02,150
-24.542,-94.968,-637.94,61
-24.525,-93.971,-637.86,46
-24.507,-92.974,-637.79,23
-23.434,-96.437,-645.06,294
-23.528,-93.071,-636.77,79
-23.47,-91.919,-638.69,58
-23.49,-91.996,-637.69,95
-22.001,-96.662,-668.12,1247
-22.021,-96.74,-667.12,1216
-22.041,-96.818,-666.13,1039
-21.983,-95.666,-668.04,1192
-21.946,-94.591,-668.96,465
-22.047,-94.98,-663.98,351
-22.434,-96.455,-645.04,437
-22.03,-93.983,-663.9,344
-22.397,-95.381,-645.96,306
-22.624,-95.316,-633.92,37
-22.549,-93.167,-635.75,63
-22.569,-93.245,-634.76,3
-22.47,-91.937,-638.67,167
-22.491,-92.015,-637.67,85
-22.511,-92.093,-636.67,26
-22.412,-90.785,-640.58,118
-22.433,-90.863,-639.58,189
-21.793,-84.701,-667.18,478
-21.942,-83.406,-658.06,359
-21.965,-82.565,-655.98,104
-21.795,-78.189,-660.66,291
-21.815,-78.267,-659.66,258
-21.835,-78.345,-658.66,217
-21.777,-77.193,-660.58,404
-21.798,-77.27,-659.58,413
-21.76,-76.196,-660.5,291
-21.78,-76.273,-659.5,340
-21.167,-96.384,-659.05,213
-21.414,-96.397,-646.01,303
-21.662,-96.409,-632.98,148
-21.645,-95.413,-632.9,125
-21.627,-94.416,-632.82,57
-21.59,-93.341,-633.74,89
-21.61,-93.419,-632.74,20
-21.532,-92.189,-635.66,155
-21.552,-92.267,-634.66,30
-21.433,-90.882,-639.57,176
-21.453,-90.959,-638.57,129
-21.474,-91.037,-637.57,113
-21.494,-91.115,-636.58,102
-20.776,-83.723,-667.09,429
-20.942,-83.425,-658.04,505
-20.745,-80.81,-665.85,661
-20.748,-79.891,-664.78,488
-20.731,-78.894,-664.7,826
-20.751,-78.972,-663.7,518
-20.734,-77.975,-663.63,799
-20.754,-78.053,-662.63,515
-20.737,-77.056,-662.55,804
-20.757,-77.134,-661.56,640
-20.778,-77.211,-660.56,477
-20.798,-77.289,-659.56,399
-20.818,-77.367,-658.57,374
-20.74,-76.137,-661.48,693
-20.76,-76.215,-660.48,730
-20.781,-76.292,-659.48,701
-20.801,-76.37,-658.49,665
-20.743,-75.218,-660.4,609
-20.763,-75.295,-659.41,789
-20.784,-75.373,-658.41,835
-20.804,-75.451,-657.41,771
-20.726,-74.221,-660.32,288
-20.746,-74.299,-659.33,516
-20.66,-109.45,-646.01,415
-19.961,-96.545,-670.07,298
-20.167,-96.402,-659.03,194
-20.432,-97.412,-646.07,307
-20.68,-97.425,-633.04,144
-20.662,-96.428,-632.96,175
-19.819,-89.489,-670.52,162
-20.573,-92.363,-633.64,82
-19.802,-88.493,-670.45,131
-20.515,-91.211,-635.56,389
-20.535,-91.289,-634.56,98
-20.416,-89.904,-639.47,331
-20.436,-89.981,-638.47,174
-20.457,-90.059,-637.48,57
-20.477,-90.137,-636.48,156
-19.753,-84.583,-669.14,523
-19.736,-83.586,-669.06,853
-19.756,-83.664,-668.06,365
-19.943,-83.444,-658.02,553
-20.187,-84.376,-646.06,80
-19.722,-81.67,-667.91,854
-19.725,-80.751,-666.83,634
-19.728,-79.832,-665.76,405
-19.731,-78.913,-664.68,264
-19.714,-77.916,-664.6,617
-19.734,-77.994,-663.61,231
-19.717,-76.997,-663.53,673
-19.737,-77.075,-662.53,369
-19.72,-76.078,-662.46,659
-19.74,-76.156,-661.46,507
-19.761,-76.233,-660.46,378
-19.781,-76.311,-659.46,329
-19.801,-76.389,-658.47,333
-19.723,-75.159,-661.38,679
-19.743,-75.237,-660.38,694
-19.764,-75.314,-659.39,608
-19.784,-75.392,-658.39,466
-19.726,-74.24,-660.31,821
-19.746,-74.317,-659.31,951
-19.767,-74.395,-658.31,862
-19.787,-74.473,-657.32,769
-19.808,-74.55,-656.32,735
-19.828,-74.628,-655.32,544
-19.869,-74.783,-653.33,222
-19.709,-73.243,-660.23,376
-19.729,-73.321,-659.23,622
-19.392,-109.38,-660.03,233
-19.413,-109.46,-659.03,307
-19.657,-110.39,-647.07,437
-19.03,-100.55,-670.37,413
-19.013,-99.554,-670.29,310
-18.995,-98.557,-670.21,276
-18.958,-97.483,-671.13,460
-18.978,-97.56,-670.13,336
-18.941,-96.486,-671.05,455
-18.961,-96.564,-670.06,354
-19.432,-97.431,-646.05,321
-18.906,-94.492,-670.9,410
-19.68,-97.444,-633.02,332
-18.889,-93.495,-670.82,402
-19.683,-96.525,-631.94,173
-19.666,-95.528,-631.87,134
-18.854,-91.502,-670.66,369
-18.816,-90.427,-671.58,79
-18.837,-90.505,-670.58,345
-18.82,-89.508,-670.51,312
-19.614,-92.538,-631.63,69
-18.802,-88.511,-670.43,286
-19.498,-90.233,-635.46,366
-19.518,-90.311,-634.47,264
-19.539,-90.389,-633.47,124
-19.42,-89.003,-638.38,172
-19.44,-89.081,-637.38,130
-19.46,-89.159,-636.38,162
-18.736,-83.605,-669.04,521
-18.94,-84.382,-659.07,469
-19.188,-84.395,-646.04,61
-18.705,-80.692,-667.81,800
-19.112,-82.246,-647.87,338
-18.708,-79.773,-666.74,480
-19.054,-81.094,-649.79,1058
-19.075,-81.171,-648.79,825
-19.095,-81.249,-647.8,394
-19.115,-81.327,-646.8,254
-18.711,-78.854,-665.66,217
-19.037,-80.097,-649.71,772
-19.057,-80.175,-648.72,459
-19.078,-80.252,-647.72,456
-19.098,-80.33,-646.72,441
-19.118,-80.408,-645.73,363
-18.694,-77.857,-665.58,656
-18.714,-77.935,-664.59,213
-18.999,-79.022,-650.63,212
-19.02,-79.1,-649.63,516
-19.04,-79.178,-648.64,428
-19.06,-79.256,-647.64,502
-19.081,-79.333,-646.64,374
-18.697,-76.938,-664.51,687
-18.717,-77.016,-663.51,301
-18.982,-78.026,-650.55,252
-19.002,-78.103,-649.56,389
-19.023,-78.181,-648.56,336
-19.043,-78.259,-647.56,254
-18.7,-76.019,-663.43,538
-18.72,-76.097,-662.44,409
-18.741,-76.174,-661.44,375
-18.965,-77.029,-650.47,286
-18.985,-77.107,-649.48,327
-19.005,-77.184,-648.48,238
-18.683,-75.022,-663.35,561
-18.703,-75.1,-662.36,633
